"added_by_id","added_at","artist","track_name","track_popularity","track_duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"1245358462",2019-11-19,"Time, The Valuator","Onryo",0,215.7,0.419,0.905,1,-5.236,1,0.068,2.47e-05,7.86e-05,0.405,0.395,154.954,4
"claireesmith94",2019-11-19,"Young Fathers","In My View",45,195.4,0.402,0.758,1,-7.557,1,0.366,0.174,0.764,0.0592,0.442,130.579,5
"claireesmith94",2019-11-19,"Kate Davis","Daisy",0,177.7,0.662,0.529,7,-10.35,1,0.0439,0.15,0.000336,0.115,0.24,131.097,4
"claireesmith94",2019-11-19,"Hamilton Leithauser + Rostam","A 1000 Times",0,248.4,0.484,0.824,7,-4.213,1,0.0968,0.638,0,0.251,0.685,183.913,4
"andrewjsa",2019-11-20,"Nathaniel Rateliff & The Night Sweats","What I Need",0,303.9,0.469,0.574,5,-5.516,1,0.0324,0.0223,0.0707,0.0904,0.565,170.153,3
"thetopher",2019-11-20,"Bon Iver","10 d E A T h b R E a s T <U+2684> <U+2684>",47,144,0.69,0.789,8,-7.031,0,0.155,0.301,0.116,0.0532,0.728,109.192,4
"",2019-11-20,"Palehound","Cinnamon",0,214.1,0.395,0.704,5,-8.485,1,0.0405,0.246,0.392,0.101,0.345,136.199,4
"1245358462",2019-11-20,"Taking Back Sunday","MakeDamnSure",66,208.3,0.553,0.837,6,-5.608,1,0.0452,0.00941,0,0.372,0.432,140.495,4
"",2019-11-21,"Men I Trust","Show Me How",76,215.1,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,4
"claireesmith94",2019-11-21,"Mitski","Townie",61,205.1,0.31,0.884,1,-3.484,1,0.0567,1.13e-05,3.33e-06,0.121,0.276,137.755,4
"thetopher",2019-11-21,"Their / They're / There","End And End",16,242.9,0.324,0.903,8,-6.967,1,0.0769,0.000108,0.00125,0.102,0.218,123.404,4
"andrewjsa",2019-11-21,"MorMor","Won't Let You",40,205.9,0.432,0.497,8,-8.433,1,0.138,0.609,0.000112,0.137,0.24,124.526,5
"claireesmith94",2019-11-22,"The War On Drugs","Strangest Thing",53,401,0.349,0.595,4,-6.129,1,0.0345,0.0122,0.00922,0.111,0.296,74.96,4
"thetopher",2019-11-22,"FKA twigs","Two Weeks",0,247.5,0.48,0.717,0,-6.663,1,0.23,0.0625,0.000685,0.0814,0.335,109.756,4
"andrewjsa",2019-11-22,"fun.","Be Calm",45,249.8,0.412,0.52,11,-6.508,1,0.0431,0.146,0,0.188,0.314,129.838,4
"",2019-11-22,"SOPHIE","Faceshopping",0,236.9,0.636,0.441,1,-7.273,1,0.247,0.0528,0.00152,0.0684,0.304,114.045,4
"1245358462",2019-11-22,"Bayside","Duality",38,180.3,0.416,0.885,0,-5.571,1,0.366,0.000435,0,0.216,0.272,155.926,4
"thetopher",2019-11-23,"Kashmere Stage Band","Headwiggle",30,258.9,0.481,0.928,11,-5.808,0,0.263,0.0154,0.74,0.132,0.575,138.953,4
"",2019-11-23,"Kero Kero Bonito","Big City",38,172,0.765,0.939,7,-3.743,1,0.0433,0.0496,0.0172,0.215,0.762,111.013,4
"1245358462",2019-11-23,"The Notorious B.I.G.","One More Chance - 2005 Remaster",53,283,0.731,0.695,10,-5.741,0,0.45,0.122,0,0.106,0.696,188.182,4
"claireesmith94",2019-11-24,"Lafawndah","Daddy",13,219.1,0.805,0.386,5,-8.63,0,0.0318,0.124,3.14e-05,0.0905,0.455,120.022,4
"",2019-11-24,"Toad The Wet Sprocket","Good Intentions",44,204.7,0.637,0.759,2,-7.328,1,0.0269,0.102,0,0.304,0.584,99.52,4
"andrewjsa",2019-11-24,"The .357 STring Band","Half Tank of Gas, Full Tank of Lies",18,146.8,0.581,0.739,7,-11.877,1,0.0355,0.27,0,0.317,0.967,84.962,5
"thetopher",2019-11-24,"Feist","Islands In The Stream",23,256.7,0.684,0.246,0,-12.42,1,0.0455,0.686,0.00495,0.116,0.121,105.915,4
"1245358462",2019-11-24,"Joey Pecoraro","Tired Boy",53,255,0.661,0.391,4,-4.24,1,0.0413,0.616,0.856,0.0878,0.256,82.819,4
"",2019-11-25,"System Of A Down","Suggestions",52,163.9,0.356,0.91,2,-4.85,1,0.141,0.0136,0.00601,0.333,0.063,177.962,4
"thetopher",2019-11-25,"Unearth","This Lying World",30,256.9,0.175,0.806,9,-6.916,0,0.0999,1.42e-05,0.651,0.214,0.318,179.927,3
"claireesmith94",2019-11-25,"Wilco","Heavy Metal Drummer",54,188.8,0.661,0.66,7,-9.061,1,0.0373,0.0257,0.00977,0.256,0.814,120.617,4
"1245358462",2019-11-25,"All That Remains","Chiron",43,264.8,0.412,0.96,9,-5.312,1,0.0999,0.00103,0.0107,0.062,0.133,103.038,4
"thetopher",2019-11-26,"Vince Staples","Loco",40,258.3,0.745,0.589,1,-11.242,0,0.428,0.145,2.02e-05,0.226,0.395,100.02,4
"",2019-11-26,"Death Grips","Bottomless Pit",41,174.5,0.356,0.991,2,-4.024,1,0.184,0.00637,0.00133,0.294,0.0549,95.235,4
"andrewjsa",2019-11-26,"Brian Fallon","Sleepwalkers",30,226.7,0.563,0.71,0,-4.916,1,0.028,0.0882,2.44e-06,0.356,0.615,100.003,4
"1245358462",2019-11-26,"House of Heroes","If",0,195.9,0.579,0.77,11,-4.357,0,0.0317,0.085,0,0.61,0.861,139.008,4
"alonzocjohnson",2019-11-26,"Mahalia","Regular People (feat. Hamzaa and Lucky Daye)",40,181.9,0.695,0.694,0,-5.026,0,0.342,0.657,0,0.0941,0.611,161.816,4
"thetopher",2019-11-27,"Nana Grizol","Cynicism",46,148.2,0.364,0.0946,4,-16.25,1,0.0307,0.888,0.000765,0.102,0.22,101.085,4
"",2019-11-27,"Primus","Wynona's Big Brown Beaver",58,261.4,0.589,0.973,2,-6.394,1,0.0543,0.000345,0.103,0.161,0.576,129.473,4
"1245358462",2019-11-28,"Slick Rick","La-Di-Da-Di",42,276.6,0.649,0.967,6,-6.995,0,0.45,0.688,0,0.986,0.586,89.453,4
"thetopher",2019-11-28,"Descendents","Thank You",32,270.2,0.177,0.997,0,-5.911,1,0.116,0.000346,0.0139,0.293,0.147,103.629,4
"andrewjsa",2019-11-28,"Cordae","Thanksgiving",49,198.1,0.755,0.535,6,-7.967,0,0.387,0.0987,1.09e-06,0.165,0.222,77.562,4
"",2019-11-28,"Breathe Carolina","Hello Fascination",40,202,0.466,0.99,8,-2.349,1,0.0969,0.0136,0.000184,0.456,0.213,139.988,4
"",2019-11-29,"Kero Kero Bonito","You Know How It Is",40,134.1,0.258,0.979,2,-0.06,1,0.0747,0.0291,1.74e-06,0.895,0.356,152.029,4
"thetopher",2019-11-29,"Malvina Reynolds","Little Boxes",41,131.4,0.588,0.269,5,-9.341,1,0.048,0.952,0.0419,0.0934,0.512,122.15,3
"",2019-11-30,"Blind Melon","No Rain",74,217.1,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,4
"alonzocjohnson",2019-11-30,"Parcels","Lightenup",60,237.2,0.857,0.658,0,-9.8,1,0.0388,0.015,0.266,0.105,0.703,122.969,4
"thetopher",2019-11-30,"Paramore","Rose-Colored Boy",63,212.9,0.768,0.826,5,-4.904,1,0.0335,0.00199,0.000374,0.031,0.926,114.997,4
"thetopher",2019-12-01,"Baton Rouge","Que des fils",9,208.9,0.362,0.843,8,-4.829,1,0.0344,0.0355,0.64,0.333,0.3,142.996,4
"",2019-12-01,"Phil Collins","Another Day in Paradise - 2016 Remaster",73,322.1,0.78,0.565,3,-7.32,0,0.0306,0.736,0.00269,0.063,0.365,101.967,4
"",2019-12-02,"Kanye West","I'm In It",57,234.9,0.485,0.604,1,-4.591,1,0.345,0.141,0,0.0668,0.45,170.337,4
"1245358462",2019-12-02,"The Killers","Runaways",37,245.2,0.39,0.834,1,-4.076,1,0.0403,0.00133,0.00266,0.0868,0.211,121.742,4
"andrewjsa",2019-12-02,"Protest The Hero","Drumhead Trial",27,268.5,0.156,0.987,5,-3.151,0,0.233,0.000114,4.78e-06,0.316,0.159,204.051,4
"thetopher",2019-12-02,"Better Oblivion Community Center","Sleepwalkin'",48,192.7,0.386,0.826,11,-7.527,1,0.0749,0.00262,1.22e-05,0.301,0.544,143.353,4
"claireesmith94",2019-12-03,"Whitney","No Woman",63,238,0.581,0.4,2,-8.739,1,0.0291,0.893,0.576,0.161,0.433,112.331,4
"",2019-12-03,"Kanye West","Closed On Sunday",63,151.9,0.799,0.291,11,-7.353,0,0.0318,0.873,0.000641,0.139,0.406,97.984,4
"andrewjsa",2019-12-03,"Black Pumas","Colors",64,246.6,0.391,0.692,1,-6.543,0,0.0462,0.0946,1.58e-05,0.191,0.56,180.029,4
"1245358462",2019-12-03,"DeFalco","File Select",0,210.6,0.624,0.469,0,-10.418,1,0.0555,0.436,0.708,0.516,0.279,155.006,4
"thetopher",2019-12-04,"PUP","Scorpion Hill",40,308.1,0.289,0.853,3,-4.505,1,0.123,0.00064,0.000292,0.0951,0.158,142.795,4
"",2019-12-04,"Attack Attack!","Sexual Man Chocolate",30,198.2,0.489,0.974,4,-4.962,0,0.0496,0.000418,2.04e-05,0.0994,0.256,125.032,4
"1245358462",2019-12-04,"The Strokes","Reptilia",74,219.8,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
"",2019-12-05,"Rammstein","RADIO",65,277.4,0.652,0.894,0,-5.145,0,0.0409,0.00404,0.00381,0.124,0.76,132.03,4
"thetopher",2019-12-05,"The Murder Capital","Feeling Fades - Single Mix",21,251.6,0.35,0.866,0,-7.083,1,0.107,0.0345,0.0657,0.135,0.35,164.813,4
"xsusical",2019-12-06,"Slowdive","Sugar for the Pill",59,270.9,0.533,0.545,7,-7.681,1,0.0243,0.207,0.797,0.113,0.419,98.014,4
"xsusical",2019-12-06,"The Voidz","Lazy Boy",41,211,0.621,0.847,8,-4.467,1,0.0298,0.196,0.00332,0.136,0.64,101.032,4
"xsusical",2019-12-06,"Beach House","Zebra",0,288.7,0.612,0.476,8,-8.256,1,0.0275,0.861,0.0044,0.147,0.257,118.381,3
"andrewjsa",2019-12-06,"Gary Clark Jr.","Pearl Cadillac",47,305.5,0.411,0.458,3,-6.289,0,0.0357,0.646,0.00103,0.0987,0.0833,119.689,4
"thetopher",2019-12-06,"Against Me!","Because of the Shame",22,261.3,0.464,0.95,2,-2.907,1,0.0529,7.36e-05,0.000631,0.329,0.629,157.823,4
"",2019-12-06,"Bad Religion","21st Century (Digital Boy)",58,169,0.447,0.979,5,-3.742,1,0.0565,6.71e-05,0,0.316,0.633,133.685,4
"thetopher",2019-12-07,"Alanis Morissette","Not the Doctor - 2015 Remaster",47,226.3,0.645,0.674,6,-8.197,0,0.077,0.0538,0,0.0733,0.569,89.301,4
"",2019-12-07,"Phish","Heavy Things",47,255.8,0.571,0.875,0,-6.795,1,0.0332,0.19,0.00029,0.303,0.773,116.141,4
"thetopher",2019-12-08,"Fugees","Ready or Not",71,227,0.607,0.422,10,-13.364,0,0.499,0.209,0,0.0839,0.563,130.47,3
"",2019-12-08,"Oasis","Bring It On Down - Remastered",0,257.8,0.112,0.936,9,-3.81,1,0.0721,1.12e-05,0.877,0.368,0.181,154.145,4
"",2019-12-09,"Death Grips","Come Up And Get Me",42,253,0.525,0.645,1,-4.638,1,0.0615,0.00175,5.94e-05,0.166,0.117,95.225,5
"thetopher",2019-12-09,"Tracy Bonham","Mother Mother",51,180.7,0.368,0.626,2,-7.082,1,0.0618,0.015,0,0.201,0.622,174.394,4
"thetopher",2019-12-10,"Our Lady Peace","Clumsy",47,268,0.382,0.831,3,-7.104,1,0.0518,0.00218,8.83e-05,0.164,0.613,170.053,4
"",2019-12-10,"Crystal Castles","Untrust Us",0,186.4,0.609,0.807,11,-5.405,0,0.0283,0.0376,0.204,0.13,0.203,125.906,4
"xsusical",2019-12-10,"Toro y Moi","Freelance",51,225.9,0.975,0.475,9,-7.067,0,0.123,0.014,0.0111,0.165,0.867,115.009,4
"claireesmith94",2019-12-11,"Alex G","Hope",50,156.6,0.553,0.596,6,-5.427,1,0.026,0.329,0.469,0.118,0.414,98.95,4
"thetopher",2020-01-27,"The Wallflowers","One Headlight",71,312.6,0.701,0.539,2,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,4
"1245358462",2020-01-27,"Polyphia","Nasty (feat. Jason Richardson)",51,280.3,0.581,0.816,2,-5.238,0,0.0471,0.000696,0.885,0.531,0.45,129.988,4
"thetopher",2020-01-28,"Kevin Devine","Cotton Crush",0,175.6,0.358,0.282,1,-9.059,0,0.0535,0.0474,0,0.0766,0.284,115.756,4
"",2020-01-28,"My Chemical Romance","Dead!",66,195.5,0.481,0.973,7,-1.945,1,0.0542,0.0037,0.000877,0.325,0.362,99.331,4
"",2020-01-29,"Oasis","She's Electric - Remastered",0,219.8,0.494,0.893,9,-4.288,1,0.0475,0.164,2.35e-06,0.636,0.526,125.413,4
"alonzocjohnson",2020-01-29,"Danny Dwyer","Chinatown Market",36,132.5,0.762,0.58,7,-5.731,1,0.0563,0.537,0,0.152,0.586,142.549,3
"1245358462",2020-01-29,"Alumni","Empty Chest",1,185,0.4,0.978,10,-3.009,1,0.108,0.000424,7.36e-05,0.296,0.573,159.918,4
"",2020-01-30,"Relient K","Sadie Hawkins Dance",53,177.6,0.382,0.82,10,-5.269,1,0.109,0.023,0,0.115,0.473,166.862,4
"thetopher",2020-01-30,"Joyce Manor","Constant Headache",57,184.3,0.41,0.892,11,-4.289,1,0.124,0.0467,0,0.246,0.451,99.016,4
"claireesmith94",2020-01-30,"Khushi","Like a City",33,228,0.425,0.0427,2,-17.443,1,0.046,0.927,1.96e-05,0.0836,0.129,117.725,4
"",2020-01-31,"Crystal Castles","Pale Flesh",42,178.8,0.596,0.625,5,-7.62,0,0.0506,0.000173,0.00726,0.17,0.521,139.955,4
"oxt9mist9odq2wpis2n4n51r4",2020-01-31,"Modest Mouse","Never Ending Math Equation",32,203.7,0.389,0.712,7,-6.275,1,0.0644,0.0385,1.28e-05,0.0678,0.896,182.841,4
"thetopher",2020-02-01,"Bright Eyes","Arc of Time (Time Code)",3,234.3,0.817,0.783,11,-6.704,1,0.146,0.0259,0.00019,0.153,0.751,115.103,4
"andrewjsa",2020-02-01,"Lifafa","Jaago",9,260.5,0.438,0.303,5,-13.122,1,0.0692,0.555,0.0946,0.298,0.0394,129.964,4
"alonzocjohnson",2020-02-01,"Xenia Manasseh","Niambie",20,135.7,0.724,0.456,7,-7.28,1,0.0525,0.0471,0.00044,0.0788,0.362,130.918,4
"",2020-02-02,"Linkin Park","Session",45,143.8,0.562,0.936,10,-7.8,1,0.0617,0.0336,0.727,0.537,0.235,98.039,4
"thetopher",2020-02-02,"John K. Samson","When I Write My Master's Thesis",21,214.6,0.334,0.792,6,-7.821,1,0.0391,0.00412,0.176,0.175,0.531,154.831,4
"andrewjsa",2020-02-02,"The .357 STring Band","Half Tank of Gas, Full Tank of Lies",18,146.8,0.581,0.739,7,-11.877,1,0.0355,0.27,0,0.317,0.967,84.962,5
"",2020-02-03,"Phish","Contact",35,401.7,0.662,0.461,0,-13.883,1,0.0455,0.529,0.000116,0.228,0.673,118.495,4
"oxt9mist9odq2wpis2n4n51r4",2020-02-03,"MIKE","Hunger",0,70,0.498,0.631,10,-7.485,1,0.104,0.872,0,0.392,0.568,74.075,4
"thetopher",2020-02-03,"Bleachers","All My Heroes",44,183.8,0.769,0.434,8,-11.097,1,0.0643,0.027,0.415,0.111,0.268,118.025,4
"",2020-02-04,"Beastie Boys","Sure Shot - Remastered 2009",46,199.6,0.702,0.793,1,-6.72,1,0.23,0.299,0,0.121,0.535,98.026,4
"1245358462",2020-02-04,"Strawberry Blonde","Promises",2,176,0.478,0.699,4,-5.686,1,0.0307,0.00613,0,0.0964,0.548,97.512,3
"alonzocjohnson",2020-02-04,"Anthony Hamilton","Charlene",57,246.8,0.556,0.346,0,-9.809,0,0.311,0.536,0,0.106,0.451,123.869,4
"",2020-02-05,"Men I Trust","Norton Commander (Album V)",45,206.3,0.632,0.451,1,-14.098,1,0.0429,0.928,0.898,0.0987,0.436,165.98,4
"andrewjsa",2020-02-05,"Joey Pecoraro","Play It Again",36,198.6,0.686,0.503,1,-9.813,1,0.0367,0.793,0.917,0.127,0.669,87.032,4
"thetopher",2020-02-06,"Bill Withers","Ain't No Sunshine",0,122.6,0.524,0.484,4,-8.151,0,0.0462,0.304,0.000228,0.0946,0.542,78.884,4
"thetopher",2020-02-06,"Thrice","Moving Mountains",0,175.3,0.618,0.292,7,-13.035,1,0.0316,0.622,0,0.394,0.578,100.003,4
"",2020-02-06,"Efence","Cassette",0,230.4,0.656,0.536,7,-14.187,1,0.0394,0.00447,0.891,0.334,0.383,100.005,4
"1245358462",2020-02-07,"Bayside","Montauk",38,220.1,0.426,0.872,11,-5.533,0,0.0621,0.00312,0,0.061,0.506,175,4
"claireesmith94",2020-02-08,"Black Lips","Gentleman",25,318,0.362,0.666,5,-5.624,1,0.0292,0.018,0.00217,0.078,0.538,84.097,4
"",2020-02-09,"Sugarcult","Memory",63,226.1,0.449,0.864,1,-3.892,1,0.0352,2.04e-05,0,0.108,0.713,167.154,4
"thetopher",2020-02-09,"Hayley Williams","Simmer",0,266.1,0.79,0.599,7,-7.417,1,0.0431,0.218,0.00257,0.118,0.362,109.978,4
"andrewjsa",2020-02-09,"Nathaniel Rateliff","All Or Nothing",0,301.8,0.45,0.441,9,-9.436,1,0.0368,0.242,0.011,0.115,0.53,140.093,4
"thetopher",2020-02-09,"Special Explosion","Fire",26,231.8,0.455,0.398,4,-9.659,0,0.0398,0.383,4.28e-06,0.111,0.21,128.25,4
"",2020-02-09,"Smash Mouth","Then The Morning Comes",48,182.3,0.729,0.881,5,-5.024,0,0.0283,0.0231,0,0.0872,0.963,118.58,4
"andrewjsa",2020-02-10,"Those Poor Bastards","Ill At Ease",12,750.1,0.604,0.876,5,-7.72,1,0.0407,0.195,0,0.101,0.189,95.007,4
"thetopher",2020-02-10,"mewithoutYou","The Dryness And The Rain",27,177.3,0.449,0.91,0,-4.331,1,0.13,0.000385,1.51e-06,0.299,0.53,128.593,4
"1294274344",2020-02-10,"Agent Orange","Bloodstains - Darkness Version",45,104.5,0.353,0.962,11,-7.274,1,0.0569,0.494,0,0.648,0.708,183.314,4
"",2020-02-11,"Yung Lean","Yoshi City",55,225.1,0.546,0.53,1,-9.059,1,0.211,0.476,0,0.0955,0.227,128.209,4
"1245358462",2020-02-11,"Weezer","Perfect Situation",55,254.3,0.47,0.806,6,-4.1,1,0.0328,0.0271,0.000142,0.2,0.403,93.853,4
"alonzocjohnson",2020-02-11,"FKJ","Risk",58,238.8,0.761,0.359,7,-12.326,1,0.0703,0.957,0.000143,0.147,0.505,103.069,4
"thetopher",2020-02-11,"Constantines","Nighttime/Anytime (It's Alright)",0,253.3,0.368,0.839,7,-7.57,1,0.0796,0.0212,0.0181,0.455,0.224,127.855,4
"thetopher",2020-02-12,"Alkaline Trio","Bleeder",19,193.2,0.546,0.338,0,-9.211,1,0.0359,0.802,0,0.198,0.373,133.162,4
"",2020-02-12,"Doja Cat","Say So",83,237.9,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,4
"andrewjsa",2020-02-13,"Jai Paul","Str8 Outta Mumbai",0,162.5,0.716,0.74,9,-4.437,0,0.262,0.0625,0,0.156,0.597,114.916,4
"thetopher",2020-02-13,"Head Automatica","At the Speed of a Yellow Bullet",26,134.9,0.5,0.993,6,-1.519,0,0.206,0.00185,0,0.859,0.35,144.078,4
"1245358462",2020-02-13,"Senses Fail","Can't Be Saved",60,187.5,0.331,0.976,2,-3.242,1,0.113,9.11e-06,0.000117,0.319,0.426,170.059,4
"1294274344",2020-02-14,"Pavement","Range Life",0,294.9,0.555,0.724,9,-9.429,1,0.0288,0.0445,1.4e-05,0.186,0.724,112.812,4
"alonzocjohnson",2020-02-14,"Lyfe Jennings","Must Be Nice",56,233.4,0.447,0.401,3,-11.232,0,0.378,0.657,0,0.127,0.644,82.235,4
"",2020-02-14,"Beck","Where It's At",0,329.6,0.673,0.662,2,-7.384,1,0.0732,0.24,0.0289,0.126,0.522,96.948,4
"1245358462",2020-02-14,"Rise Against","The Approaching Curve",34,224.7,0.309,0.992,1,-4.715,1,0.185,0.00226,6.19e-06,0.28,0.258,111.686,4
"",2020-02-15,"Queens of the Stone Age","You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",49,192.6,0.478,0.861,0,-6.79,0,0.105,0.0191,0.0396,0.155,0.607,159.846,4
"",2020-02-16,"Aphex Twin","Ageispolis",55,323.2,0.645,0.393,6,-17.543,0,0.043,0.00903,0.89,0.364,0.441,101.757,4
"thetopher",2020-02-16,"Restorations","Let's Blow Up the Sun",13,238.8,0.281,0.899,2,-6.013,1,0.0452,0.00171,0.000127,0.365,0.285,113.844,4
"1245358462",2020-02-16,"REMMI","Bobby K",35,203.6,0.46,0.582,9,-4.007,0,0.0422,0.0699,0,0.14,0.127,158.095,4
"",2020-02-17,"New Order","Bizarre Love Triangle - Shep Pettibone 12"" Remix",44,405.6,0.704,0.895,10,-7.81,1,0.0647,0.00428,0.28,0.267,0.869,118.662,4
"thetopher",2020-02-17,"Whitney Houston","I Wanna Dance with Somebody (Who Loves Me)",81,291.3,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
"1294274344",2020-02-19,"David Byrne","Who",0,230,0.686,0.551,7,-6.356,1,0.0317,0.0715,0.000636,0.0885,0.537,90.049,4
"",2020-02-19,"Queens of the Stone Age","Song For The Dead",48,352.4,0.339,0.933,5,-5.733,1,0.0723,0.158,0.416,0.397,0.225,106.566,4
"thetopher",2020-02-19,"Selena Gomez","Bad Liar",68,214.6,0.965,0.414,1,-6.408,1,0.0713,0.189,0,0.0767,0.728,121.032,4
"",2020-02-20,"zebrahead","Playmate of the Year",29,177.7,0.541,0.962,9,-5.814,0,0.0647,1.47e-05,0.258,0.139,0.698,131.245,4
"thetopher",2020-02-20,"toe","after image",1,239.2,0.576,0.777,1,-9.576,0,0.0364,0.524,0.686,0.0673,0.898,93.971,4
"alonzocjohnson",2020-02-21,"Zapp","More Bounce to the Ounce",54,311.1,0.85,0.818,0,-8.623,1,0.0904,0.124,0.00135,0.349,0.839,105.266,4
"",2020-02-21,"Genesis","Invisible Touch - 2007 Remaster",61,209.6,0.659,0.878,0,-5.987,1,0.0298,0.339,0.000543,0.0731,0.843,131.037,4
